Bay_Name,Grid_Row,Grid_Col
FPE-1,1,89
FPD-1,1,90
FPD-1,1,92
FPC-2,1,93
FPC-1,1,95
FPB-2,1,96
FPB-1,1,98
FPA-2,1,99
FPA-1,1,101
FPE-3,2,89
FPD-3,2,90
FPD-3,2,92
FPC-4,2,93
FPC-3,2,95
FPB-4,2,96
FPB-3,2,98
FPA-4,2,99
FPA-3,2,101
FPE-5,3,89
FPD-5,3,90
FPD-5,3,92
FPC-6,3,93
FPC-5,3,95
FPB-6,3,96
FPB-5,3,98
FPA-6,3,99
FPA-5,3,101
FPE-7,4,89
FPD-7,4,90
FPD-7,4,92
FPC-8,4,93
FPC-7,4,95
FPB-8,4,96
FPB-7,4,98
FPA-8,4,99
FPA-7,4,101
FPE-9,5,89
FPD-9,5,90
FPD-9,5,92
FPC-10,5,93
FPC-9,5,95
FPB-10,5,96
FPB-9,5,98
FPA-10,5,99
FPA-9,5,101
FPE-11,6,89
FPD-11,6,90
FPD-11,6,92
FPC-12,6,93
FPC-11,6,95
FPB-12,6,96
FPB-11,6,98
FPA-12,6,99
FPA-11,6,101
SS-X2,10,30
SS-X1,10,32
SS-W2,10,33
SS-W1,10,35
SS-V2,10,36
SS-V1,10,38
SS-U2,10,39
SS-U1,10,41
SS-T2,10,42
SS-T1,10,44
SS-S2,10,45
SS-S1,10,47
SS-R2,10,48
SS-P2,10,54
SS-P1,10,56
SS-J1,10,74
SS-I2,10,75
SS-I1,10,77
SS-H2,10,78
SS-H1,10,80
SS-G2,10,81
SS-G1,10,83
SS-F2,10,84
SS-F1,10,86
SS-E2,10,87
SS-E1,10,89
SS-D2,10,90
SS-D1,10,92
SS-C2,10,93
SS-C1,10,95
SS-B2,10,96
SS-B1,10,98
SS-A2,10,99
SS-X4,11,30
SS-X3,11,32
SS-W4,11,33
SS-W3,11,35
SS-V4,11,36
SS-V3,11,38
SS-U4,11,39
SS-U3,11,41
SS-T4,11,42
SS-T3,11,44
SS-S4,11,45
SS-S3,11,47
SS-R4,11,48
SS-R1,11,50
SS-Q2,11,51
SS-Q1,11,53
SS-P4,11,54
SS-P3,11,56
SS-O2,11,57
SS-O1,11,59
SS-N2,11,60
SS-M1,11,65
SS-L2,11,66
SS-L1,11,68
SS-K2,11,69
SS-K1,11,71
SS-J2,11,72
SS-J3,11,74
SS-I4,11,75
SS-I3,11,77
SS-H4,11,78
