Bay_Name,Used_m3
FPA-1,2.524343745
FPA-10,2.02244674
FPA-11,3.557895882
FPA-12,2.230148262
FPA-2,1.571609049
FPA-3,2.416623706
FPA-4,1.696212828
FPA-5,2.056525678
FPA-6,2.420583468
FPA-7,1.740771369
FPA-8,1.839551911
FPA-9,2.303539723
FPB-1,1.711874852
FPB-10,3.223623845
FPB-11,1.487984206
FPB-12,1.522213802
FPB-2,1.415202916
FPB-3,3.458441538
FPB-4,1.708386956
FPB-5,2.321344204
FPB-6,2.002828568
FPB-7,2.092948566
FPB-8,1.676947668
FPB-9,1.317466132
FPC-1,2.025851478
FPC-10,1.560567006
FPC-11,1.88895234
FPC-12,2.135268491
FPC-2,1.560218015
FPC-3,1.618624109
FPC-4,2.075812094
FPC-5,1.544451835
FPC-6,0.7997353788
FPC-7,1.367649136
FPC-8,1.713552768
FPC-9,1.865479944
FPD-1,1.686095561
FPD-10,1.882167427
FPD-11,2.23582009
FPD-12,1.458046991
FPD-2,2.466392643
FPD-3,2.83568566
FPD-4,6.171218104
FPD-5,2.682535115
FPD-6,2.546122124
FPD-7,2.497082231
FPD-8,2.400827898
FPD-9,1.523554624
FPE-1,1.535467431
FPE-11,2.219280244
FPE-3,2.188114072
FPE-5,1.382543828
FPE-7,1.621774088
FPE-9,1.681297996
LF-A10,1.999393941
LF-A12,1.84080656
LF-A14,1.148392996
LF-A16,1.92425718
LF-A18,1.429130845
LF-A2,1.617475776
LF-A4,2.656060106
LF-A6,1.472878342
LF-A8,2.095410308
LF-B1,1.920453238
LF-B10,1.056127837
LF-B11,1.388607684
LF-B12,1.108522589
LF-B13,1.217332716
LF-B14,1.915724088
LF-B15,1.571174667
LF-B16,1.469743736
LF-B17,1.082872896
LF-B18,1.629235763
LF-B2,2.14320981
LF-B3,1.401419096
LF-B4,1.450409556
LF-B5,1.874891038
LF-B6,1.886363383
LF-B7,1.8302798
LF-B8,1.525604311
LF-B9,1.00319334
LF-C1,1.781029444
LF-C10,2.470589643
LF-C11,1.227630802
LF-C12,1.828780497
LF-C13,2.888170783
LF-C14,1.910827297
LF-C15,1.185514506
LF-C16,1.731052636
LF-C17,1.307514566
LF-C18,1.247749307
LF-C2,1.788716626
LF-C3,1.832505114
LF-C4,3.419258652
LF-C5,1.85257238
LF-C6,2.333490356
LF-C7,1.928506289
LF-C8,1.501852983
LF-C9,1.039551525
LF-D1,2.39297338
LF-D10,1.983658472
LF-D11,1.338290272
LF-D12,3.675278838
LF-D13,1.144443341
LF-D14,1.812637957
LF-D15,2.192070433
LF-D16,1.145074308
LF-D17,1.886779626
LF-D18,2.213248861
LF-D2,1.991375812
LF-D3,2.157700878
LF-D4,1.967789302
LF-D5,1.70667568
LF-D6,3.517128203
LF-D7,1.597572597
LF-D8,1.434116469
LF-D9,1.451283433
LS-A1,2.58719906
LS-A10,1.972357826
LS-A11,2.157170862
LS-A12,1.084455521
LS-A13,1.03647608
LS-A14,1.211785594
LS-A15,1.341018125
LS-A16,1.674501694
LS-A17,1.320863249
LS-A2,1.751561108
LS-A3,2.092742799
LS-A4,1.900518262
LS-A5,1.847845962
LS-A6,3.351855416
LS-A7,2.15610325
LS-A8,3.545294766
LS-A9,2.18416351
LS-B1,1.952754678
LS-B10,1.649911318
LS-B11,2.280184385
LS-B12,1.768426511
LS-B13,1.692583099
LS-B14,0.9381119935
LS-B15,1.501900675
LS-B16,1.256026282
LS-B17,1.967988499
LS-B18,2.485334896
LS-B2,2.333980945
LS-B3,2.991014656
LS-B4,1.707016608
LS-B5,2.7308509
LS-B6,1.375340344
LS-B7,1.700366435
LS-B8,3.296801116
LS-B9,1.623470059
LS-C1,2.118185366
LS-C10,2.617111964
LS-C11,2.036548143
LS-C12,1.968351412
LS-C13,1.2025632
LS-C14,1.501620724
LS-C15,1.718269771
LS-C16,2.320483015
LS-C17,1.918955642
LS-C18,2.333887831
LS-C2,2.07407469
LS-C3,1.797228296
LS-C4,1.563680513
LS-C5,2.857289884
LS-C6,1.964467849
LS-C7,1.525617563
LS-C8,1.104820907
LS-C9,1.364369568
LS-D1,2.769321084
LS-D10,1.955126342
LS-D11,2.051824029
LS-D12,2.195625624
LS-D13,1.873976436
LS-D14,1.113557103
LS-D15,2.061548437
LS-D16,1.930412863
LS-D17,1.647462511
LS-D18,1.377454051
LS-D2,2.434494796
LS-D3,1.6820792
LS-D4,2.223803792
LS-D5,3.268684317
LS-D6,1.118705171
LS-D7,2.25468032
LS-D8,1.761030723
LS-D9,1.475579187
LS-E1,2.540011138
LS-E10,2.287797053
LS-E11,1.30653609
LS-E12,2.262908057
LS-E13,2.143411033
LS-E14,2.23360649
LS-E15,1.540476781
LS-E16,1.788995465
LS-E17,2.083155865
LS-E18,2.006393599
LS-E2,2.341629882
LS-E3,2.227810399
LS-E4,2.997335649
LS-E5,1.803858866
LS-E6,3.419313116
LS-E7,2.110599436
LS-E8,1.439687392
LS-E9,1.938052269
LS-F1,2.792602844
LS-F10,2.18192634
LS-F11,2.191615583
LS-F12,1.830558285
LS-F13,1.921673773
LS-F14,1.93516927
LS-F16,1.789543027
LS-F17,2.299099436
LS-F18,1.59E+00
LS-F2,1.292594276
LS-F3,1.753043645
LS-F4,1.901718938
LS-F5,2.782210896
LS-F6,1.654437412
LS-F7,2.144823545
LS-F8,1.437756502
LS-F9,1.864875372
LS-G1,1.45772282
LS-G10,1.085042526
LS-G11,1.523329739
LS-G12,1.718476328
LS-G13,1.389260409
LS-G14,2.353535346
LS-G15,3.101806541
LS-G16,1.64668759
LS-G17,1.630357616
LS-G18,2.214738032
LS-G2,1.389965354
LS-G3,1.496431376
LS-G4,2.951852908
LS-G5,3.06956277
LS-G6,1.918281914
LS-G7,2.016756134
LS-G8,2.179103237
LS-G9,5.252361573
LS-H1,2.699309306
LS-H10,2.778036787
LS-H11,1.165803816
LS-H12,1.397504764
LS-H13,1.958631916
LS-H14,1.833109188
LS-H15,1.178850918
LS-H16,1.715007104
LS-H17,1.458786484
LS-H2,1.513719077
LS-H3,2.177961064
LS-H4,1.633574641
LS-H5,2.553982414
LS-H6,1.149264528
LS-H7,1.471385325
LS-H8,1.389533566
LS-H9,1.912344154
LS-I1,4.709718604
LS-I10,1.477048948
LS-I11,2.218269728
LS-I12,1.871354299
LS-I13,1.890446638
LS-I14,2.332348777
LS-I15,1.672954818
LS-I2,3.196146382
LS-I3,2.425119772
LS-I4,2.186645892
LS-I5,2.294329317
LS-I6,2.071065391
LS-I7,2.455145652
LS-I8,1.520042136
LS-I9,1.209730816
LS-J1,1.907838278
LS-J10,1.970682516
LS-J11,1.55242569
LS-J12,2.243369759
LS-J14,1.253569198
LS-J2,2.97224588
LS-J3,1.597669597
LS-J4,2.710342953
LS-J5,2.332402803
LS-J6,1.352139433
LS-J7,1.651270984
LS-J8,1.125680023
LS-J9,1.380282672
LS-K1,1.537042422
LS-K10,1.603143126
LS-K11,1.095199161
LS-K12,1.462956219
LS-K13,2.274714385
LS-K14,0.98397074
LS-K15,1.843745175
LS-K16,1.479059116
LS-K18,2.38039206
LS-K2,1.614489279
LS-K3,2.037357244
LS-K4,2.246349743
LS-K5,1.373746306
LS-K6,1.647400127
LS-K7,1.426174256
LS-K8,0.8078950155
LS-K9,0.983308334
LS-L1,1.97460045
LS-L10,1.890169184
LS-L11,2.159902925
LS-L12,2.376635075
LS-L13,1.544334326
LS-L14,1.47433246
LS-L15,2.1427687
LS-L16,0.983880628
LS-L17,1.875078236
LS-L18,1.810853098
LS-L2,1.322587316
LS-L3,1.325250789
LS-L4,2.625126108
LS-L5,2.819776447
LS-L6,1.638474298
LS-L7,3.169341141
LS-L8,1.532957498
LS-L9,1.979445976
LS-M1,3.097668588
LS-M10,1.265605938
LS-M11,1.242753938
LS-M12,2.534820694
LS-M13,1.538905344
LS-M14,2.285360198
LS-M15,1.51528096
LS-M16,1.845386517
LS-M17,2.09541236
LS-M18,2.297874491
LS-M2,2.86686295
LS-M3,2.348289406
LS-M4,1.967609894
LS-M5,1.499722121
LS-M6,3.010352445
LS-M7,2.035699401
LS-M8,2.243307666
LS-M9,1.761618553
LS-N12,1.364565043
LS-N14,1.85713258
LS-N16,1.775348298
LS-N18,1.808917355
LS-N20,1.13884065
LS-N22,1.609444392
LS-N24,1.368054192
LS-N26,1.641546072
LS-N32,2.55274854
LS-N34,2.974045756
LS-N36,2.58183765
LS-N38,1.272943065
LS-N40,1.578365263
LS-N42,0.903807217
LS-N44,1.827288673
LS-N46,1.43588334
LS-N48,1.884728117
LS-O1,2.143657051
LS-O10,1.636923136
LS-O11,2.89785762
LS-O12,2.620996338
LS-O13,2.021904312
LS-O14,1.333383705
LS-O15,1.9228679
LS-O16,1.476887076
LS-O17,1.897735807
LS-O18,1.559933489
LS-O2,2.364701468
LS-O3,2.463233086
LS-O4,1.350395141
LS-O5,1.194723897
LS-O6,2.078241707
LS-O7,1.326042275
LS-O8,2.797906815
LS-O9,1.840888913
LS-P1,1.245577682
LS-P10,1.852085477
LS-P11,2.083459252
LS-P12,7.02453146
LS-P13,2.093351021
LS-P14,1.434182414
LS-P15,1.491705994
LS-P16,2.212451855
LS-P17,1.327978066
LS-P18,1.575048092
LS-P2,1.965125225
LS-P20,1.950340733
LS-P3,1.50645972
LS-P4,1.947419418
LS-P5,3.146186825
LS-P6,2.790746078
LS-P7,1.649121161
LS-P8,1.222273909
LS-P9,2.916767247
LS-Q1,2.594653488
LS-Q10,3.9501506
LS-Q11,1.543162738
LS-Q12,1.512018403
LS-Q13,1.00325504
LS-Q14,1.488482557
LS-Q15,1.578762133
LS-Q16,1.623886405
LS-Q17,1.621816942
LS-Q18,1.251732034
LS-Q19,1.808121784
LS-Q2,1.576033042
LS-Q20,1.015262834
LS-Q3,2.260132241
LS-Q4,1.537330658
LS-Q5,1.581103575
LS-Q6,1.794420238
LS-Q7,1.575494323
LS-Q8,1.5085018
LS-Q9,2.288669721
LS-R1,1.642047825
LS-R10,1.381683858
LS-R11,0.917880881
LS-R12,1.509676614
LS-R13,1.576722064
LS-R14,3.215216434
LS-R15,1.186811747
LS-R16,0.849264888
LS-R17,1.298943325
LS-R18,1.30175243
LS-R19,1.838286155
LS-R2,1.789796096
LS-R20,0.970740364
LS-R3,2.500168876
LS-R4,1.861895954
LS-R5,1.769413839
LS-R6,1.463325577
LS-R7,1.784452108
LS-R8,1.158753749
LS-R9,1.259487414
LS-S1,1.6517303
LS-S10,1.817443851
LS-S11,2.1599145
LS-S12,1.975610823
LS-S13,1.53573803
LS-S14,1.919138385
LS-S15,0.862326068
LS-S16,3.244632678
LS-S17,0.927116569
LS-S18,2.816641449
LS-S19,1.08949386
LS-S2,1.108903476
LS-S3,1.949739391
LS-S4,1.501697611
LS-S5,1.664293373
LS-S6,1.476607896
LS-S7,1.329270957
LS-S8,1.087655444
LS-S9,1.05821412
LS-T1,1.512164035
LS-T10,1.439641904
LS-T11,2.53569072
LS-T12,2.038843044
LS-T13,1.310945455
LS-T14,1.330191192
LS-T15,1.910384158
LS-T16,2.772322282
LS-T17,1.879907037
LS-T18,2.144062294
LS-T2,2.839537591
LS-T3,1.108405232
LS-T4,2.284177525
LS-T5,1.373248406
LS-T6,1.994178598
LS-T7,1.422905966
LS-T8,1.337558779
LS-T9,2.158076208
LS-U1,1.259720976
LS-U10,1.128794626
LS-U11,1.911831775
LS-U12,1.626107764
LS-U13,2.697448137
LS-U14,1.398412259
LS-U15,2.970215627
LS-U16,2.33749647
LS-U17,1.276643984
LS-U18,2.257248049
LS-U2,1.634154188
LS-U3,2.286447471
LS-U4,1.766309382
LS-U5,1.898451369
LS-U6,1.381941338
LS-U7,1.567476137
LS-U8,1.591702171
LS-U9,2.754429112
LS-V1,1.353109364
LS-V10,0.864085195
LS-V11,1.354883662
LS-V12,1.214196688
LS-V13,1.867265611
LS-V14,1.47898525
LS-V15,1.407667905
LS-V16,2.467117477
LS-V17,1.436791702
LS-V18,1.003334655
LS-V2,1.649739367
LS-V3,2.477836468
LS-V4,1.466353051
LS-V5,1.974242841
LS-V6,1.749052073
LS-V7,2.067065118
LS-V8,1.196755649
LS-V9,1.627132829
LS-W1,1.656804668
LS-W10,1.336526769
LS-W11,1.549587269
LS-W12,1.447730439
LS-W13,2.244441755
LS-W14,1.44191403
LS-W15,2.297655052
LS-W17,2.610742721
LS-W2,3.163766572
LS-W3,1.47764223
LS-W4,4.182975921
LS-W5,1.600679667
LS-W6,2.745907141
LS-W7,2.75379061
LS-W8,1.969475053
LS-W9,1.898683965
SS-A-3,0.0015
SS-A-41,1.324693713
SS-A-43,0.936926087
SS-A-45,0.761195821
SS-A-47,0.684727546
SS-A-49,0.663858742
SS-A-51,0.7418562015
SS-A-53,1.066531955
SS-A-55,0.6264681883
SS-A-57,1.331169283
SS-A-59,1.143185175
SS-A-61,1.380464171
SS-A-63,0.989380603
SS-A-65,1.37276761
SS-A-67,0.8721672978
SS-A-69,0.61250516
SS-A-71,1.0394608
SS-A-73,0.7995579323
SS-A10,1.087408258
SS-A12,1.275805273
SS-A14,1.045433223
SS-A16,0.774145937
SS-A18,1.240205705
SS-A2,1.038431187
SS-A20,0.839244596
SS-A22,0.814668956
SS-A24,1.26386377
SS-A26,1.228117518
SS-A28,1.176001646
SS-A30,1.07552022
SS-A32,1.172469969
SS-A34,0.761388988
SS-A36,0.661996978
SS-A4,0.955575758
SS-A6,1.54467472
SS-A8,1.215164347
SS-B1,1.167544809
SS-B10,1.193672907
SS-B11,0.943800623
SS-B12,0.796638081
SS-B13,0.8043292485
SS-B14,0.798771077
SS-B15,0.745216968
SS-B16,1.731402327
SS-B17,0.740152367
SS-B18,1.28334395
SS-B19,0.894209184
SS-B2,0.5391612518
SS-B20,1.30405569
SS-B21,1.261247625
SS-B22,1.09530044
SS-B23,0.567864038
SS-B24,0.9014439973
SS-B25,0.710821463
SS-B26,0.9173938855
SS-B27,0.652909145
SS-B28,0.856592343
SS-B29,1.166209711
SS-B3,0.75210521
SS-B30,0.892655092
SS-B31,1.036936378
SS-B32,1.375432823
SS-B33,1.512406359
SS-B34,1.107872735
SS-B35,1.000086804
SS-B36,0.992394986
SS-B4,0.953003768
SS-B5,0.7382110363
SS-B6,0.910974616
SS-B7,1.277366021
SS-B8,1.567653955
SS-B9,0.770386852
SS-C1,1.18391697
SS-C10,0.659590421
SS-C11,0.906288338
SS-C12,0.588660084
SS-C13,0.9539407123
SS-C14,0.654955386
SS-C15,0.879069175
SS-C16,0.7393062645
SS-C17,1.163290912
SS-C18,1.156792948
SS-C19,0.966824602
SS-C2,0.685220886
SS-C20,1.017006324
SS-C21,1.107335173
SS-C22,0.8894769278
SS-C23,0.92243674
SS-C24,0.6684916298
SS-C25,1.172251856
SS-C26,1.112153117
SS-C27,0.934685884
SS-C28,0.631499932
SS-C29,1.177651222
SS-C3,0.721600891
SS-C30,0.8204873705
SS-C31,1.248437378
SS-C32,0.81455405
SS-C33,1.573021502
SS-C34,1.093469269
SS-C35,0.5473152005
SS-C36,0.6904458638
SS-C4,0.70781815
SS-C5,1.054269844
SS-C6,0.752514241
SS-C7,0.7594790693
SS-C8,0.634061597
SS-C9,0.5934208118
SS-D1,0.806625879
SS-D10,0.603058787
SS-D11,0.5342425548
SS-D12,0.842856948
SS-D13,0.6013501885
SS-D14,0.5853840175
SS-D15,0.3680363228
SS-D16,0.769748666
SS-D17,0.7670775375
SS-D18,0.693043422
SS-D19,0.932424632
SS-D2,0.825260631
SS-D20,0.565448187
SS-D21,1.383813082
SS-D22,0.864143052
SS-D23,0.935220359
SS-D24,1.731391316
SS-D25,0.6834510813
SS-D26,0.8076147805
SS-D27,0.704764654
SS-D28,1.636563561
SS-D29,0.6061293443
SS-D3,1.525920425
SS-D30,0.759489714
SS-D31,0.9541426775
SS-D32,0.86157863
SS-D33,0.7329318498
SS-D34,0.9746957535
SS-D35,0.6279654113
SS-D36,0.712272016
SS-D4,0.7887482763
SS-D5,0.879112055
SS-D6,0.831349016
SS-D7,1.311726288
SS-D8,0.7358388755
SS-D9,0.779514573
SS-E1,0.59149355
SS-E10,0.627198578
SS-E11,1.089545225
SS-E12,0.644907474
SS-E13,0.545076492
SS-E14,0.98454223
SS-E15,0.782787429
SS-E16,0.829304919
SS-E17,0.63726693
SS-E18,0.912684317
SS-E19,0.48889724
SS-E2,0.5961355448
SS-E20,0.6642149605
SS-E21,0.552931756
SS-E22,0.747514757
SS-E23,0.537382249
SS-E24,0.763758996
SS-E25,0.6068937335
SS-E26,0.7265052055
SS-E27,0.985821089
SS-E28,0.827579142
SS-E29,1.104637953
SS-E3,0.799052789
SS-E30,1.002559564
SS-E31,1.109776776
SS-E32,1.017976395
SS-E33,1.129174248
SS-E34,0.662888957
SS-E35,0.607698695
SS-E36,0.684424608
SS-E4,0.767049999
SS-E5,0.7541090905
SS-E6,0.947279692
SS-E7,0.8579220515
SS-E8,0.65112693
SS-E9,1.237662447
SS-F1,0.7364950435
SS-F10,0.688487941
SS-F11,0.993564622
SS-F12,0.724064515
SS-F13,1.048515602
SS-F14,0.8003293075
SS-F15,0.604437571
SS-F16,1.317909172
SS-F17,0.6848290755
SS-F18,1.081651838
SS-F19,0.478665148
SS-F2,0.72773688
SS-F20,0.60158204
SS-F21,0.620448871
SS-F22,0.578005147
SS-F23,0.907901986
SS-F24,0.5292601715
SS-F25,0.545075948
SS-F26,0.8044481845
SS-F27,0.723212891
SS-F28,1.022866436
SS-F29,0.858609106
SS-F3,1.038852193
SS-F30,0.926036473
SS-F31,0.763456569
SS-F32,0.655654051
SS-F33,0.842552971
SS-F34,1.214528303
SS-F35,0.9243343913
SS-F36,0.841252056
SS-F4,1.02033718
SS-F5,1.114847591
SS-F6,0.86794306
SS-F7,0.6933819215
SS-F8,0.5643957785
SS-F9,0.861590913
SS-G1,0.5406816718
SS-G10,1.254533887
SS-G11,0.5596956905
SS-G12,0.770438168
SS-G13,0.739682144
SS-G14,0.782024705
SS-G15,0.6174356755
SS-G16,0.802050378
SS-G17,0.91938346
SS-G18,0.6745653683
SS-G19,0.980050296
SS-G2,0.4338095225
SS-G20,0.694843678
SS-G21,0.6920057325
SS-G22,0.693048652
SS-G23,0.5346756755
SS-G24,0.429947136
SS-G25,0.645567476
SS-G26,1.099210008
SS-G27,1.409234574
SS-G29,0.555203128
SS-G3,0.8616910425
SS-G30,0.545810286
SS-G31,0.6901171485
SS-G32,1.02089529
SS-G33,0.8572831485
SS-G34,0.780583153
SS-G35,0.5683767273
SS-G36,0.576600205
SS-G4,1.052565608
SS-G5,0.9202999623
SS-G6,0.6925407743
SS-G7,0.736178592
SS-G8,1.156943623
SS-G9,0.7592345275
SS-H1,1.138678086
SS-H10,0.393074938
SS-H11,0.4831816665
SS-H12,0.483982091
SS-H13,0.8571556845
SS-H14,0.374527846
SS-H15,0.807474811
SS-H16,0.369974831
SS-H17,1.03459027
SS-H18,0.5299905523
SS-H19,0.8992994705
SS-H2,0.481969775
SS-H20,0.362651191
SS-H21,0.946062667
SS-H22,0.586725923
SS-H23,0.7970854445
SS-H24,0.5907630955
SS-H25,0.955120667
SS-H26,0.4454905645
SS-H27,1.18408885
SS-H28,0.343847915
SS-H29,1.042793592
SS-H3,0.6902498313
SS-H30,1.167310146
SS-H31,1.217808724
SS-H32,0.9947087745
SS-H33,1.222933439
SS-H34,0.669124038
SS-H35,1.177036641
SS-H36,0.50278463
SS-H4,0.825211006
SS-H5,0.753005144
SS-H6,0.267420169
SS-H7,0.937187336
SS-H8,0.4605147648
SS-H9,0.6492518675
SS-I1,0.4990695498
SS-I10,0.433332877
SS-I11,0.296925384
SS-I12,0.438295512
SS-I13,0.4418200545
