Bay_Name,Capacity_m3
LF-A10,2.7
LF-A12,2.7
LF-A14,2.7
LF-A16,2.7
LF-A18,2.7
LF-A2,2.7
LF-A4,2.7
LF-A6,2.7
LF-A8,2.7
LF-B1,2.7
LF-B10,2.7
LF-B11,2.7
LF-B12,2.7
LF-B13,2.7
LF-B14,2.7
LF-B15,2.7
LF-B16,2.7
LF-B17,2.7
LF-B18,2.7
LF-B2,2.7
LF-B3,2.7
LF-B4,2.7
LF-B5,2.7
LF-B6,2.7
LF-B7,2.7
LF-B8,2.7
LF-B9,2.7
LF-C1,2.7
LF-C10,2.7
LF-C11,2.7
LF-C12,2.7
LF-C13,2.7
LF-C14,2.7
LF-C15,2.7
LF-C16,2.7
LF-C17,2.7
LF-C18,2.7
LF-C2,2.7
LF-C3,2.7
LF-C4,2.7
LF-C5,2.7
LF-C6,2.7
LF-C7,2.7
LF-C8,2.7
LF-C9,2.7
LF-D1,2.7
LF-D10,2.7
LF-D11,2.7
LF-D12,2.7
LF-D13,2.7
LF-D14,2.7
LF-D15,2.7
LF-D16,2.7
LF-D17,2.7
LF-D18,2.7
LF-D2,2.7
LF-D3,2.7
LF-D4,2.7
LF-D5,2.7
LF-D6,2.7
LF-D7,2.7
LF-D8,2.7
LF-D9,2.7
LS-A1,2.7
LS-A10,2.7
LS-A11,2.7
LS-A12,2.7
LS-A13,2.7
LS-A14,2.7
LS-A15,2.7
LS-A16,2.7
LS-A17,2.7
LS-A2,2.7
LS-A3,2.7
LS-A4,2.7
LS-A5,2.7
LS-A6,2.7
LS-A7,2.7
LS-A8,2.7
LS-A9,2.7
LS-B1,2.7
LS-B10,2.7
LS-B11,2.7
LS-B12,2.7
LS-B13,2.7
LS-B14,2.7
LS-B15,2.7
LS-B16,2.7
LS-B17,2.7
LS-B18,2.7
LS-B2,2.7
LS-B3,2.7
LS-B4,2.7
LS-B5,2.7
LS-B6,2.7
LS-B7,2.7
LS-B8,2.7
LS-B9,2.7
LS-C1,2.7
LS-C10,2.7
LS-C11,2.7
LS-C12,2.7
LS-C13,2.7
LS-C14,2.7
LS-C15,2.7
LS-C16,2.7
LS-C17,2.7
LS-C18,2.7
LS-C2,2.7
LS-C3,2.7
LS-C4,2.7
LS-C5,2.7
LS-C6,2.7
LS-C7,2.7
LS-C8,2.7
LS-C9,2.7
LS-D1,2.7
LS-D10,2.7
LS-D11,2.7
LS-D12,2.7
LS-D13,2.7
LS-D14,2.7
LS-D15,2.7
LS-D16,2.7
LS-D17,2.7
LS-D18,2.7
LS-D2,2.7
LS-D3,2.7
LS-D4,2.7
LS-D5,2.7
LS-D6,2.7
LS-D7,2.7
LS-D8,2.7
LS-D9,2.7
LS-E1,2.7
LS-E10,2.7
LS-E11,2.7
LS-E12,2.7
LS-E13,2.7
LS-E14,2.7
LS-E15,2.7
LS-E16,2.7
LS-E17,2.7
LS-E18,2.7
LS-E2,2.7
LS-E3,2.7
LS-E4,2.7
LS-E5,2.7
LS-E6,2.7
LS-E7,2.7
LS-E8,2.7
LS-E9,2.7
LS-F1,2.7
LS-F10,2.7
LS-F11,2.7
LS-F12,2.7
LS-F13,2.7
LS-F14,2.7
LS-F16,2.7
LS-F17,2.7
LS-F18,2.7
LS-F2,2.7
LS-F3,2.7
LS-F4,2.7
LS-F5,2.7
LS-F6,2.7
LS-F7,2.7
LS-F8,2.7
LS-F9,2.7
LS-G1,2.7
LS-G10,2.7
LS-G11,2.7
LS-G12,2.7
LS-G13,2.7
LS-G14,2.7
LS-G15,2.7
LS-G16,2.7
LS-G17,2.7
LS-G18,2.7
LS-G2,2.7
LS-G3,2.7
LS-G4,2.7
LS-G5,2.7
LS-G6,2.7
LS-G7,2.7
LS-G8,2.7
LS-G9,2.7
LS-H1,2.7
LS-H10,2.7
LS-H11,2.7
LS-H12,2.7
LS-H13,2.7
LS-H14,2.7
LS-H15,2.7
LS-H16,2.7
